Transaction_ID,Amount,Account,Date,Type
TRX_000050,4.0,ACC_7246,2024-12-26,Revenue
TRX_000051,1.66,ACC_6806,2024-04-18,Expense
TRX_000052,1.03,ACC_1593,2024-05-19,Asset
TRX_000053,2.0,ACC_1331,2024-10-19,Asset
TRX_000054,5.89,ACC_3497,2024-03-11,Revenue
TRX_000055,1.25,ACC_8544,2024-07-03,Liability
TRX_000056,4.1,ACC_2628,2024-06-03,Liability
TRX_000057,9.08,ACC_3466,2024-11-01,Asset
TRX_000058,3.44,ACC_5669,2024-01-25,Asset
TRX_000059,6.45,ACC_2130,2024-02-04,Asset
TRX_000060,1.4,ACC_4259,2024-12-02,Liability
TRX_000061,6.867,ACC_2141,2024-04-01,Liability
TRX_000062,2.6,ACC_4267,2024-05-24,Revenue
TRX_000063,2.912,ACC_6546,2024-11-11,Revenue
TRX_000064,1.7,ACC_1929,2024-04-24,Liability
TRX_000065,3.301,ACC_7980,2024-08-24,Asset
TRX_000066,3.3,ACC_8833,2024-11-14,Expense
TRX_000067,8.921,ACC_3309,2024-11-15,Revenue
TRX_000068,1.9,ACC_3172,2024-05-10,Liability
TRX_000069,2.531,ACC_7139,2024-09-17,Revenue
TRX_000070,1.305,ACC_4236,2024-09-17,Revenue
TRX_000071,3.46,ACC_1946,2024-03-10,Expense
TRX_000072,1.904,ACC_1382,2024-12-21,Liability
TRX_000073,6.072,ACC_6004,2024-02-11,Liability
TRX_000074,2.2,ACC_4835,2024-02-08,Expense
TRX_000075,3.24,ACC_3567,2024-12-05,Revenue
TRX_000076,5.24,ACC_9458,2024-06-13,Asset
TRX_000077,7.5,ACC_7538,2024-07-05,Revenue
TRX_000078,4.9,ACC_1882,2024-03-26,Liability
TRX_000079,1.69,ACC_6347,2024-06-11,Revenue
TRX_000080,3.821,ACC_4536,2024-03-21,Expense
TRX_000081,2.362,ACC_4119,2024-09-08,Liability
TRX_000082,1.0,ACC_4935,2024-08-19,Asset
TRX_000083,7.461,ACC_5117,2024-06-11,Asset
TRX_000084,4.41,ACC_4735,2024-03-24,Expense
TRX_000085,9.221,ACC_3841,2024-01-08,Asset
TRX_000086,1.038,ACC_7144,2024-05-13,Liability
TRX_000087,8.0,ACC_4747,2024-03-02,Asset
TRX_000088,1.1,ACC_6037,2024-04-06,Asset
TRX_000089,2.125,ACC_6647,2024-02-08,Revenue
TRX_000090,3.51,ACC_2497,2024-08-15,Asset
TRX_000091,1.276,ACC_5727,2024-07-27,Expense
TRX_000092,2.6,ACC_3368,2024-01-09,Expense
TRX_000093,9.2,ACC_8480,2024-09-22,Asset
TRX_000094,7.993,ACC_6575,2024-06-20,Liability
TRX_000095,4.13,ACC_9244,2024-08-15,Expense
TRX_000096,3.6,ACC_7919,2024-02-12,Asset
TRX_000097,1.17,ACC_8016,2024-12-17,Asset
TRX_000098,1.9,ACC_2884,2024-10-18,Liability
TRX_000099,3.6,ACC_7056,2024-06-05,Liability
TRX_000100,5.8,ACC_3624,2024-11-19,Revenue
TRX_000101,6.22,ACC_3224,2024-06-16,Liability
TRX_000102,9.0,ACC_9662,2024-10-01,Liability
TRX_000103,4.964,ACC_1234,2024-05-01,Liability
TRX_000104,5.3,ACC_5888,2024-09-21,Liability
TRX_000105,6.9,ACC_2124,2024-06-16,Asset
TRX_000106,3.2,ACC_4374,2024-02-14,Asset
TRX_000107,2.814,ACC_9588,2024-04-02,Liability
TRX_000108,2.57,ACC_3005,2024-01-04,Revenue
TRX_000109,5.1,ACC_4976,2024-08-08,Asset
TRX_000110,1.547,ACC_2461,2024-01-04,Revenue
TRX_000111,1.805,ACC_2673,2024-05-12,Asset
TRX_000112,6.45,ACC_2815,2024-02-22,Revenue
TRX_000113,1.28,ACC_9578,2024-06-17,Liability
TRX_000114,3.8,ACC_9931,2024-10-26,Expense
TRX_000115,5.079,ACC_7091,2024-11-22,Revenue
TRX_000116,1.814,ACC_5063,2024-05-25,Revenue
TRX_000117,5.384,ACC_5579,2024-07-04,Asset
TRX_000118,4.706,ACC_9835,2024-08-03,Revenue
TRX_000119,1.16,ACC_9707,2024-10-08,Revenue
TRX_000120,1.58,ACC_6690,2024-10-12,Asset
TRX_000121,1.89,ACC_8468,2024-03-11,Revenue
TRX_000122,6.003,ACC_1215,2024-06-25,Asset
TRX_000123,1.19,ACC_8763,2024-04-09,Asset
TRX_000124,1.1,ACC_2946,2024-02-15,Liability
TRX_000125,3.4,ACC_8557,2024-06-22,Expense
TRX_000126,2.25,ACC_2116,2024-08-12,Revenue
TRX_000127,1.0,ACC_7474,2024-02-11,Asset
TRX_000128,1.83,ACC_3743,2024-11-26,Expense
TRX_000129,3.481,ACC_8186,2024-07-23,Expense
TRX_000130,4.53,ACC_1619,2024-03-27,Revenue
TRX_000131,8.411,ACC_6366,2024-08-13,Expense
TRX_000132,2.06,ACC_4667,2024-08-18,Expense
TRX_000133,7.4,ACC_7217,2024-04-05,Liability
TRX_000134,8.47,ACC_3217,2024-12-08,Expense
TRX_000135,3.548,ACC_5444,2024-03-12,Revenue
TRX_000136,1.5,ACC_8927,2024-07-27,Expense
TRX_000137,9.6,ACC_4824,2024-03-20,Liability
TRX_000138,5.206,ACC_4674,2024-10-14,Revenue
TRX_000139,6.3,ACC_1692,2024-11-18,Liability
TRX_000140,7.9,ACC_9345,2024-04-20,Asset
TRX_000141,3.884,ACC_2913,2024-01-17,Expense
TRX_000142,7.8,ACC_3780,2024-04-05,Liability
TRX_000143,2.429,ACC_2132,2024-12-07,Asset
TRX_000144,8.74,ACC_5557,2024-04-23,Expense
TRX_000145,7.37,ACC_7696,2024-03-16,Asset
TRX_000146,1.83,ACC_1270,2024-03-05,Revenue
TRX_000147,2.731,ACC_4607,2024-08-10,Liability
TRX_000148,1.0,ACC_7614,2024-05-24,Liability
TRX_000149,2.4,ACC_8997,2024-09-25,Revenue
TRX_000150,2.54,ACC_7534,2024-07-06,Revenue
TRX_000151,2.253,ACC_4109,2024-03-04,Asset
TRX_000152,2.6,ACC_2849,2024-02-05,Revenue
TRX_000153,1.853,ACC_6141,2024-05-22,Revenue
TRX_000154,1.699,ACC_5538,2024-02-09,Revenue
TRX_000155,8.58,ACC_3832,2024-04-16,Liability
TRX_000156,4.445,ACC_3800,2024-01-25,Asset
TRX_000157,2.7,ACC_8361,2024-08-15,Liability
TRX_000158,1.06,ACC_1166,2024-09-17,Expense
TRX_000159,6.8,ACC_6260,2024-06-06,Liability
TRX_000160,9.006,ACC_5287,2024-01-17,Asset
TRX_000161,3.02,ACC_9234,2024-04-03,Liability
TRX_000162,6.1,ACC_5796,2024-07-04,Liability
TRX_000163,5.58,ACC_9112,2024-08-19,Revenue
TRX_000164,3.572,ACC_9850,2024-12-16,Asset
TRX_000165,7.3,ACC_8262,2024-04-12,Asset
TRX_000166,2.28,ACC_5068,2024-08-07,Expense
TRX_000167,4.162,ACC_5595,2024-08-01,Revenue
TRX_000168,1.4,ACC_1139,2024-01-06,Revenue
TRX_000169,2.45,ACC_1887,2024-11-01,Expense
TRX_000170,1.2,ACC_5821,2024-05-27,Expense
TRX_000171,1.303,ACC_4765,2024-07-15,Asset
TRX_000172,1.573,ACC_8196,2024-08-18,Asset
TRX_000173,2.7,ACC_7361,2024-10-17,Expense
TRX_000174,9.8,ACC_2988,2024-02-26,Liability
TRX_000175,2.062,ACC_7241,2024-09-03,Liability
TRX_000176,4.55,ACC_9345,2024-11-23,Asset
TRX_000177,1.538,ACC_3195,2024-12-19,Liability
TRX_000178,1.41,ACC_2742,2024-11-10,Revenue
TRX_000179,5.83,ACC_6178,2024-12-02,Revenue
TRX_000180,1.989,ACC_5757,2024-03-16,Revenue
TRX_000181,1.31,ACC_3461,2024-09-13,Liability
TRX_000182,4.3,ACC_1816,2024-09-04,Asset
TRX_000183,9.9,ACC_8071,2024-06-16,Expense
TRX_000184,1.51,ACC_4490,2024-04-27,Revenue
TRX_000185,8.389,ACC_3962,2024-08-17,Asset
TRX_000186,4.13,ACC_9560,2024-05-23,Asset
TRX_000187,5.084,ACC_3346,2024-02-08,Asset
TRX_000188,2.901,ACC_2629,2024-07-10,Expense
TRX_000189,6.372,ACC_2993,2024-06-01,Asset
TRX_000190,5.72,ACC_9685,2024-10-17,Revenue
TRX_000191,1.86,ACC_5027,2024-12-01,Expense
TRX_000192,7.74,ACC_3817,2024-10-11,Asset
TRX_000193,5.73,ACC_6738,2024-05-15,Liability
TRX_000194,2.598,ACC_7915,2024-06-07,Revenue
TRX_000195,2.062,ACC_9312,2024-01-06,Expense
TRX_000196,1.4,ACC_3032,2024-10-21,Expense
TRX_000197,7.3,ACC_1802,2024-04-05,Revenue
TRX_000198,2.796,ACC_9468,2024-10-20,Liability
TRX_000199,6.643,ACC_7121,2024-01-10,Expense
TRX_000200,8.0,ACC_7972,2024-09-06,Asset
TRX_000201,6.585,ACC_1086,2024-01-12,Asset
TRX_000202,2.85,ACC_2700,2024-07-13,Liability
TRX_000203,4.606,ACC_4687,2024-05-02,Revenue
TRX_000204,5.55,ACC_5384,2024-01-11,Liability
TRX_000205,7.99,ACC_9306,2024-04-02,Revenue
TRX_000206,1.665,ACC_1146,2024-06-15,Expense
TRX_000207,9.8,ACC_1018,2024-03-10,Liability
TRX_000208,5.1,ACC_6618,2024-06-01,Expense
TRX_000209,1.046,ACC_3687,2024-08-26,Revenue
TRX_000210,1.9,ACC_6126,2024-10-17,Asset
TRX_000211,2.0,ACC_7314,2024-09-27,Revenue
TRX_000212,2.4,ACC_4893,2024-12-09,Liability
TRX_000213,5.8,ACC_7773,2024-09-07,Expense
TRX_000214,3.182,ACC_5234,2024-05-14,Expense
TRX_000215,4.21,ACC_4719,2024-06-06,Liability
TRX_000216,1.38,ACC_5780,2024-02-02,Revenue
TRX_000217,6.392,ACC_1002,2024-06-14,Liability
TRX_000218,4.339,ACC_7239,2024-11-11,Expense
TRX_000219,4.8,ACC_1670,2024-12-02,Revenue
TRX_000220,1.3,ACC_6255,2024-09-26,Expense
TRX_000221,6.6,ACC_4792,2024-03-05,Asset
TRX_000222,4.6,ACC_4163,2024-09-06,Revenue
TRX_000223,1.249,ACC_9995,2024-10-05,Revenue
TRX_000224,4.95,ACC_3575,2024-08-08,Asset
TRX_000225,1.1,ACC_2629,2024-12-10,Liability
TRX_000226,5.9,ACC_3561,2024-02-12,Asset
TRX_000227,6.05,ACC_5334,2024-03-06,Asset
TRX_000228,4.4,ACC_1922,2024-04-07,Expense
TRX_000229,1.3,ACC_8647,2024-07-23,Expense
TRX_000230,6.43,ACC_1203,2024-01-08,Revenue
TRX_000231,2.54,ACC_9799,2024-03-15,Revenue
TRX_000232,4.15,ACC_3103,2024-11-24,Liability
TRX_000233,5.751,ACC_3378,2024-01-22,Revenue
TRX_000234,1.392,ACC_5460,2024-11-03,Asset
TRX_000235,1.0,ACC_3850,2024-04-11,Asset
TRX_000236,7.42,ACC_1165,2024-08-18,Revenue
TRX_000237,5.922,ACC_5804,2024-05-10,Asset
TRX_000238,3.2,ACC_4521,2024-10-11,Revenue
TRX_000239,1.671,ACC_7838,2024-12-05,Asset
TRX_000240,1.413,ACC_6232,2024-10-20,Expense
TRX_000241,3.165,ACC_8031,2024-07-11,Revenue
TRX_000242,4.888,ACC_3505,2024-06-19,Revenue
TRX_000243,4.7,ACC_8086,2024-01-14,Expense
TRX_000244,1.06,ACC_8226,2024-11-15,Liability
TRX_000245,2.52,ACC_8323,2024-08-26,Expense
TRX_000246,7.4,ACC_3789,2024-02-04,Expense
TRX_000247,3.537,ACC_8129,2024-01-20,Liability
TRX_000248,1.67,ACC_8382,2024-08-09,Asset
TRX_000249,1.9,ACC_1464,2024-07-25,Liability
TRX_000250,8.3,ACC_6750,2024-12-17,Revenue
TRX_000251,7.21,ACC_7065,2024-07-12,Expense
TRX_000252,1.57,ACC_7628,2024-04-03,Revenue
TRX_000253,5.777,ACC_1649,2024-07-17,Liability
TRX_000254,4.9,ACC_6457,2024-06-24,Asset
TRX_000255,1.16,ACC_3011,2024-05-06,Expense
TRX_000256,3.72,ACC_7059,2024-12-23,Revenue
TRX_000257,2.986,ACC_7324,2024-08-02,Revenue
TRX_000258,1.1,ACC_6067,2024-08-17,Asset
TRX_000259,1.66,ACC_4103,2024-09-08,Liability
TRX_000260,1.1,ACC_1844,2024-09-12,Liability
TRX_000261,4.821,ACC_6558,2024-07-04,Asset
TRX_000262,5.7,ACC_3032,2024-05-06,Asset
TRX_000263,5.53,ACC_7139,2024-07-08,Revenue
TRX_000264,5.557,ACC_9411,2024-05-03,Liability
TRX_000265,3.15,ACC_7855,2024-07-08,Expense
TRX_000266,1.29,ACC_5482,2024-11-12,Revenue
TRX_000267,5.4,ACC_8869,2024-04-25,Asset
TRX_000268,1.49,ACC_4558,2024-06-04,Revenue
TRX_000269,4.1,ACC_9467,2024-04-13,Revenue
TRX_000270,1.0,ACC_1910,2024-01-24,Expense
TRX_000271,1.677,ACC_1314,2024-10-15,Asset
TRX_000272,3.0,ACC_9347,2024-09-16,Asset
TRX_000273,3.06,ACC_7751,2024-02-14,Expense
TRX_000274,2.446,ACC_7992,2024-08-19,Liability
TRX_000275,4.46,ACC_8069,2024-01-25,Liability
TRX_000276,8.021,ACC_4791,2024-09-15,Liability
TRX_000277,5.88,ACC_9263,2024-11-12,Revenue
TRX_000278,4.26,ACC_8850,2024-01-01,Liability
TRX_000279,3.4,ACC_9615,2024-07-24,Expense
TRX_000280,2.42,ACC_5917,2024-08-09,Revenue
TRX_000281,1.704,ACC_8282,2024-02-08,Asset
TRX_000282,4.052,ACC_2051,2024-02-06,Asset
TRX_000283,3.9,ACC_3105,2024-04-26,Liability
TRX_000284,3.292,ACC_6869,2024-08-24,Asset
TRX_000285,7.17,ACC_7603,2024-08-24,Liability
TRX_000286,2.87,ACC_8755,2024-08-23,Expense
TRX_000287,2.129,ACC_7653,2024-06-10,Revenue
TRX_000288,5.22,ACC_5247,2024-05-03,Expense
TRX_000289,8.2,ACC_7305,2024-07-18,Liability
TRX_000290,5.605,ACC_4672,2024-02-03,Expense
TRX_000291,4.3,ACC_7589,2024-01-20,Expense
TRX_000292,4.93,ACC_1974,2024-09-21,Liability
TRX_000293,1.5,ACC_3672,2024-11-16,Liability
TRX_000294,5.142,ACC_3773,2024-08-23,Liability
TRX_000295,7.98,ACC_8347,2024-01-08,Asset
TRX_000296,1.9,ACC_2716,2024-07-05,Liability
TRX_000297,1.48,ACC_8616,2024-08-19,Expense
TRX_000298,7.975,ACC_9923,2024-10-09,Asset
TRX_000299,9.7,ACC_7686,2024-04-25,Liability
TRX_000300,3.74,ACC_3432,2024-01-25,Asset
TRX_000301,4.4,ACC_5117,2024-06-03,Revenue
TRX_000302,6.0,ACC_9848,2024-06-17,Liability
TRX_000303,3.27,ACC_4580,2024-11-13,Revenue
TRX_000304,1.545,ACC_8984,2024-07-25,Expense
TRX_000305,1.9,ACC_5485,2024-06-27,Liability
TRX_000306,4.8,ACC_5621,2024-07-12,Asset
TRX_000307,3.202,ACC_2939,2024-04-03,Liability
TRX_000308,8.0,ACC_2073,2024-01-03,Liability
TRX_000309,5.94,ACC_8023,2024-04-08,Asset
TRX_000310,1.39,ACC_3284,2024-02-03,Expense
TRX_000311,2.861,ACC_4847,2024-07-24,Liability
TRX_000312,8.82,ACC_3845,2024-10-06,Expense
TRX_000313,1.6,ACC_7715,2024-02-11,Expense
TRX_000314,1.5,ACC_2657,2024-12-04,Revenue
TRX_000315,8.17,ACC_7009,2024-09-05,Expense
TRX_000316,3.29,ACC_8263,2024-04-04,Revenue
TRX_000317,5.5,ACC_8701,2024-01-20,Expense
TRX_000318,6.928,ACC_8483,2024-12-23,Expense
TRX_000319,4.8,ACC_2814,2024-10-19,Revenue
TRX_000320,1.368,ACC_3971,2024-02-13,Liability
TRX_000321,2.9,ACC_1717,2024-10-25,Expense
TRX_000322,2.882,ACC_9307,2024-02-10,Asset
TRX_000323,1.4,ACC_8381,2024-07-23,Revenue
TRX_000324,1.89,ACC_7197,2024-11-11,Liability
TRX_000325,3.24,ACC_9378,2024-10-16,Expense
TRX_000326,6.936,ACC_6877,2024-02-26,Asset
TRX_000327,3.766,ACC_5670,2024-08-12,Revenue
TRX_000328,6.0,ACC_5471,2024-04-21,Liability
TRX_000329,8.46,ACC_7543,2024-10-07,Revenue
TRX_000330,7.4,ACC_7940,2024-03-15,Liability
TRX_000331,4.944,ACC_8478,2024-04-20,Revenue
TRX_000332,1.51,ACC_8108,2024-06-04,Expense
TRX_000333,2.153,ACC_3581,2024-04-20,Asset
TRX_000334,1.225,ACC_7382,2024-09-20,Revenue
TRX_000335,3.14,ACC_7781,2024-11-05,Expense
TRX_000336,4.1,ACC_6929,2024-09-10,Asset
TRX_000337,9.928,ACC_6308,2024-03-21,Liability
TRX_000338,4.11,ACC_3363,2024-08-17,Liability
TRX_000339,7.64,ACC_1926,2024-11-24,Revenue
TRX_000340,1.3,ACC_4398,2024-10-15,Expense
TRX_000341,1.0,ACC_2371,2024-01-15,Liability
TRX_000342,6.197,ACC_7553,2024-11-08,Expense
TRX_000343,4.2,ACC_1011,2024-03-10,Asset
TRX_000344,3.01,ACC_3077,2024-04-06,Liability
TRX_000345,5.9,ACC_9635,2024-10-08,Revenue
TRX_000346,4.5,ACC_9745,2024-05-22,Liability
TRX_000347,1.3,ACC_7897,2024-11-27,Revenue
TRX_000348,9.81,ACC_7155,2024-08-09,Liability
TRX_000349,1.81,ACC_6807,2024-04-07,Liability
TRX_000350,5.375,ACC_2409,2024-09-14,Expense
TRX_000351,1.3,ACC_3172,2024-07-24,Revenue
TRX_000352,1.41,ACC_4981,2024-02-26,Liability
TRX_000353,1.33,ACC_8189,2024-04-24,Revenue
TRX_000354,2.3,ACC_8697,2024-06-03,Asset
TRX_000355,1.434,ACC_6874,2024-07-14,Expense
TRX_000356,4.6,ACC_3364,2024-07-14,Liability
TRX_000357,6.8,ACC_7638,2024-12-02,Revenue
TRX_000358,1.704,ACC_8454,2024-03-17,Liability
TRX_000359,1.67,ACC_7394,2024-04-03,Revenue
TRX_000360,3.85,ACC_2985,2024-05-27,Revenue
TRX_000361,2.3,ACC_8754,2024-07-15,Expense
TRX_000362,2.5,ACC_3575,2024-03-20,Expense
TRX_000363,2.94,ACC_6968,2024-02-20,Expense
TRX_000364,3.022,ACC_6594,2024-12-12,Liability
TRX_000365,5.6,ACC_1242,2024-06-19,Expense
TRX_000366,1.853,ACC_3158,2024-05-13,Expense
TRX_000367,1.92,ACC_1298,2024-12-09,Liability
TRX_000368,4.269,ACC_3657,2024-11-19,Liability
TRX_000369,2.09,ACC_2243,2024-01-03,Liability
TRX_000370,3.76,ACC_5362,2024-07-04,Revenue
TRX_000371,5.24,ACC_6540,2024-05-24,Liability
TRX_000372,1.5,ACC_4637,2024-09-20,Expense
TRX_000373,4.6,ACC_9557,2024-10-11,Liability
TRX_000374,8.618,ACC_5633,2024-09-22,Revenue
TRX_000375,2.2,ACC_2773,2024-04-13,Asset
TRX_000376,2.2,ACC_1506,2024-05-22,Liability
TRX_000377,2.896,ACC_2192,2024-10-10,Revenue
TRX_000378,3.1,ACC_7106,2024-04-01,Revenue
TRX_000379,1.3,ACC_1643,2024-11-22,Expense
TRX_000380,1.182,ACC_1919,2024-03-04,Expense
TRX_000381,3.812,ACC_9750,2024-11-27,Asset
TRX_000382,3.6,ACC_5399,2024-10-16,Asset
TRX_000383,3.51,ACC_3155,2024-12-04,Expense
TRX_000384,2.609,ACC_3646,2024-10-13,Expense
TRX_000385,5.24,ACC_8933,2024-05-25,Expense
TRX_000386,3.5,ACC_1861,2024-11-07,Revenue
TRX_000387,7.041,ACC_6811,2024-07-21,Liability
TRX_000388,1.615,ACC_6540,2024-10-01,Liability
TRX_000389,1.31,ACC_7748,2024-08-22,Expense
TRX_000390,6.98,ACC_7646,2024-09-21,Asset
TRX_000391,1.626,ACC_9456,2024-10-13,Expense
TRX_000392,1.494,ACC_9671,2024-11-10,Asset
TRX_000393,4.622,ACC_3395,2024-03-06,Liability
TRX_000394,2.2,ACC_4138,2024-08-08,Asset
TRX_000395,1.324,ACC_1556,2024-08-23,Liability
TRX_000396,3.4,ACC_2016,2024-07-15,Asset
TRX_000397,1.5,ACC_7256,2024-05-12,Revenue
TRX_000398,2.77,ACC_4440,2024-09-18,Liability
TRX_000399,9.83,ACC_3936,2024-07-11,Expense
TRX_000400,4.811,ACC_2342,2024-09-19,Liability
TRX_000401,2.873,ACC_8235,2024-09-02,Liability
TRX_000402,9.76,ACC_3653,2024-05-25,Liability
TRX_000403,1.119,ACC_3038,2024-02-15,Asset
TRX_000404,6.1,ACC_2784,2024-07-11,Asset
TRX_000405,9.9,ACC_7893,2024-06-13,Liability
TRX_000406,3.2,ACC_8082,2024-07-22,Asset
TRX_000407,1.16,ACC_3962,2024-12-27,Liability
TRX_000408,7.4,ACC_6730,2024-02-03,Liability
TRX_000409,3.6,ACC_7453,2024-06-16,Liability
TRX_000410,4.7,ACC_5086,2024-06-21,Expense
TRX_000411,8.8,ACC_5758,2024-03-23,Asset
TRX_000412,5.16,ACC_4534,2024-01-21,Revenue
TRX_000413,1.172,ACC_5530,2024-10-07,Expense
TRX_000414,1.584,ACC_3156,2024-09-21,Expense
TRX_000415,3.0,ACC_7772,2024-12-17,Liability
TRX_000416,3.9,ACC_9488,2024-06-11,Revenue
TRX_000417,1.17,ACC_6622,2024-05-03,Revenue
TRX_000418,1.03,ACC_8036,2024-08-13,Asset
TRX_000419,7.0,ACC_5603,2024-11-02,Revenue
TRX_000420,2.2,ACC_5818,2024-09-16,Expense
TRX_000421,8.9,ACC_5576,2024-02-16,Liability
TRX_000422,6.18,ACC_9236,2024-06-21,Expense
TRX_000423,1.6,ACC_2001,2024-10-25,Liability
TRX_000424,3.8,ACC_1478,2024-04-08,Revenue
TRX_000425,2.3,ACC_1271,2024-03-25,Liability
TRX_000426,5.3,ACC_7222,2024-02-15,Expense
TRX_000427,6.98,ACC_1066,2024-09-21,Asset
TRX_000428,1.9,ACC_5471,2024-12-05,Expense
TRX_000429,8.3,ACC_1198,2024-02-22,Liability
TRX_000430,8.764,ACC_2174,2024-10-19,Revenue
TRX_000431,5.1,ACC_9979,2024-12-23,Revenue
TRX_000432,1.9,ACC_1731,2024-10-23,Expense
TRX_000433,2.153,ACC_9516,2024-03-22,Asset
TRX_000434,1.78,ACC_3371,2024-09-12,Asset
TRX_000435,5.02,ACC_3917,2024-04-07,Expense
TRX_000436,2.5,ACC_5327,2024-03-08,Expense
TRX_000437,2.906,ACC_7691,2024-09-06,Liability
TRX_000438,1.86,ACC_8037,2024-02-03,Asset
TRX_000439,7.29,ACC_1687,2024-05-22,Liability
TRX_000440,1.723,ACC_4183,2024-06-27,Asset
TRX_000441,1.7,ACC_2335,2024-06-04,Asset
TRX_000442,7.76,ACC_3330,2024-01-27,Liability
TRX_000443,7.894,ACC_9881,2024-04-05,Revenue
TRX_000444,2.2,ACC_2412,2024-03-20,Asset
TRX_000445,1.07,ACC_6969,2024-02-22,Expense
TRX_000446,2.513,ACC_8943,2024-03-15,Revenue
TRX_000447,1.3,ACC_7924,2024-01-02,Expense
TRX_000448,1.81,ACC_2990,2024-07-25,Expense
TRX_000449,1.51,ACC_5435,2024-05-21,Expense
TRX_000450,1.9,ACC_8440,2024-10-23,Expense
TRX_000451,8.15,ACC_7468,2024-05-20,Liability
TRX_000452,2.4,ACC_7852,2024-10-25,Expense
TRX_000453,1.55,ACC_3721,2024-07-06,Asset
TRX_000454,1.6,ACC_7240,2024-01-24,Liability
TRX_000455,3.09,ACC_2128,2024-07-04,Liability
TRX_000456,9.61,ACC_5567,2024-08-17,Revenue
TRX_000457,1.04,ACC_9362,2024-07-10,Revenue
TRX_000458,7.529,ACC_5961,2024-10-04,Asset
TRX_000459,6.96,ACC_5565,2024-10-01,Liability
TRX_000460,9.49,ACC_3568,2024-11-15,Liability
TRX_000461,9.537,ACC_1240,2024-01-24,Liability
TRX_000462,1.586,ACC_8995,2024-03-22,Asset
TRX_000463,8.2,ACC_7568,2024-10-02,Revenue
TRX_000464,8.69,ACC_5368,2024-06-14,Asset
TRX_000465,1.75,ACC_2910,2024-03-25,Liability
TRX_000466,1.03,ACC_7996,2024-06-05,Revenue
TRX_000467,9.445,ACC_7681,2024-12-01,Liability
TRX_000468,8.086,ACC_4462,2024-12-21,Asset
TRX_000469,3.36,ACC_5703,2024-03-02,Expense
TRX_000470,1.4,ACC_2861,2024-06-09,Liability
TRX_000471,4.495,ACC_9081,2024-06-13,Revenue
TRX_000472,1.69,ACC_8264,2024-04-13,Asset
TRX_000473,2.4,ACC_8996,2024-02-23,Expense
TRX_000474,1.569,ACC_3460,2024-02-01,Revenue
TRX_000475,3.291,ACC_4114,2024-07-09,Revenue
TRX_000476,3.69,ACC_3630,2024-10-02,Expense
TRX_000477,6.0,ACC_5078,2024-10-19,Liability
